Vcoarse	Vfine	dBm(HB.Vo_P[::,1])[0, ::]
1.50000000000000000E0	2.50000000000000000E0	1.70717892619124356E0
1.50000000000000000E0	2.75000000000000000E0	1.71371052324909101E0
1.50000000000000000E0	3.00000000000000000E0	1.71710848483493983E0
1.50000000000000000E0	3.25000000000000000E0	1.71793139383386162E0
1.50000000000000000E0	3.50000000000000000E0	1.71809773963631329E0
1.50000000000000000E0	3.75000000000000000E0	1.71811140818732788E0
1.50000000000000000E0	4.00000000000000000E0	1.71812641832459079E0

Vcoarse	Vfine	dBm(HB.Vo_P[::,1])[6, ::]
2.00000000000000000E0	-1.00000000000000000E0	1.65373361414708953E0
2.00000000000000000E0	-7.50000000000000000E-1	1.65593798067924425E0
2.00000000000000000E0	-5.00000000000000000E-1	1.65872499519289818E0
2.00000000000000000E0	-2.50000000000000000E-1	1.66257844291138568E0
2.00000000000000000E0	0.00000000000000000E0	1.66725146825238468E0
2.00000000000000000E0	2.50000000000000000E-1	1.67380358813508501E0
2.00000000000000000E0	5.00000000000000000E-1	1.68353148505644867E0
2.00000000000000000E0	7.50000000000000000E-1	1.69875408254542748E0
2.00000000000000000E0	1.00000000000000000E0	1.72522637130920486E0
2.00000000000000000E0	1.25000000000000000E0	1.77082291668086711E0
2.00000000000000000E0	1.50000000000000000E0	1.81176285952042093E0
2.00000000000000000E0	1.75000000000000000E0	1.83630784204956221E0
2.00000000000000000E0	2.00000000000000000E0	1.85442202682599522E0
2.00000000000000000E0	2.25000000000000000E0	1.86800036082754950E0
2.00000000000000000E0	2.50000000000000000E0	1.87851379022681186E0
2.00000000000000000E0	2.75000000000000000E0	1.88622607158867694E0
2.00000000000000000E0	3.00000000000000000E0	1.89018052010095161E0
2.00000000000000000E0	3.25000000000000000E0	1.89117589064899860E0
2.00000000000000000E0	3.50000000000000000E0	1.89136721887083326E0
2.00000000000000000E0	3.75000000000000000E0	1.89139529892170977E0
2.00000000000000000E0	4.00000000000000000E0	1.89140578961660211E0

Vcoarse	Vfine	dBm(HB.Vo_P[::,1])[7, ::]
2.50000000000000000E0	-1.00000000000000000E0	1.73599298350638875E0
2.50000000000000000E0	-7.50000000000000000E-1	1.73814631195887870E0
2.50000000000000000E0	-5.00000000000000000E-1	1.74089777977164140E0
2.50000000000000000E0	-2.50000000000000000E-1	1.74477253071957072E0
2.50000000000000000E0	0.00000000000000000E0	1.74961309823502553E0
2.50000000000000000E0	2.50000000000000000E-1	1.75667158689584113E0
2.50000000000000000E0	5.00000000000000000E-1	1.76786409932763355E0
2.50000000000000000E0	7.50000000000000000E-1	1.78615569207440394E0
2.50000000000000000E0	1.00000000000000000E0	1.81232657810018694E0
2.50000000000000000E0	1.25000000000000000E0	1.85296115926705518E0
2.50000000000000000E0	1.50000000000000000E0	1.89603859284930465E0
2.50000000000000000E0	1.75000000000000000E0	1.91866282600302185E0
2.50000000000000000E0	2.00000000000000000E0	1.93446813793803507E0
2.50000000000000000E0	2.25000000000000000E0	1.94688097235331448E0
2.50000000000000000E0	2.50000000000000000E0	1.95655540357606661E0
2.50000000000000000E0	2.75000000000000000E0	1.96376231685075631E0
2.50000000000000000E0	3.00000000000000000E0	1.96760807688549022E0
2.50000000000000000E0	3.25000000000000000E0	1.96862606092514980E0
2.50000000000000000E0	3.50000000000000000E0	1.96882117144089008E0
2.50000000000000000E0	3.75000000000000000E0	1.96885179782564279E0
2.50000000000000000E0	4.00000000000000000E0	1.96886035866986653E0

Vcoarse	Vfine	dBm(HB.Vo_P[::,1])[8, ::]
3.00000000000000000E0	-1.00000000000000000E0	1.78121567798779346E0
3.00000000000000000E0	-7.50000000000000000E-1	1.78333448245618165E0
3.00000000000000000E0	-5.00000000000000000E-1	1.78598641337119801E0
3.00000000000000000E0	-2.50000000000000000E-1	1.78965147746149889E0
3.00000000000000000E0	0.00000000000000000E0	1.79399766146152118E0
3.00000000000000000E0	2.50000000000000000E-1	1.79996565303621381E0
3.00000000000000000E0	5.00000000000000000E-1	1.80887777174524444E0
3.00000000000000000E0	7.50000000000000000E-1	1.82385630329007498E0
3.00000000000000000E0	1.00000000000000000E0	1.85225534265657998E0
3.00000000000000000E0	1.25000000000000000E0	1.89611606900702867E0
3.00000000000000000E0	1.50000000000000000E0	1.93112725069912372E0
3.00000000000000000E0	1.75000000000000000E0	1.95810473759401127E0
3.00000000000000000E0	2.00000000000000000E0	1.97544707343163850E0
3.00000000000000000E0	2.25000000000000000E0	1.98624144304313255E0
3.00000000000000000E0	2.50000000000000000E0	1.99351908157799507E0
3.00000000000000000E0	2.75000000000000000E0	1.99877629662724488E0
3.00000000000000000E0	3.00000000000000000E0	2.00168116619628478E0
3.00000000000000000E0	3.25000000000000000E0	2.00248091353641477E0
3.00000000000000000E0	3.50000000000000000E0	2.00263731485406815E0
3.00000000000000000E0	3.75000000000000000E0	2.00266360237770247E0
3.00000000000000000E0	4.00000000000000000E0	2.00268394058286603E0

Vcoarse	Vfine	dBm(HB.Vo_P[::,1])[9, ::]
3.50000000000000000E0	-1.00000000000000000E0	1.78538566647162256E0
3.50000000000000000E0	-7.50000000000000000E-1	1.78742667600669591E0
3.50000000000000000E0	-5.00000000000000000E-1	1.78999765419670354E0
3.50000000000000000E0	-2.50000000000000000E-1	1.79355089961755887E0
3.50000000000000000E0	0.00000000000000000E0	1.79775012618943819E0
3.50000000000000000E0	2.50000000000000000E-1	1.80355558406105132E0
3.50000000000000000E0	5.00000000000000000E-1	1.81239264629005170E0
3.50000000000000000E0	7.50000000000000000E-1	1.82767263984809070E0
3.50000000000000000E0	1.00000000000000000E0	1.85671358954684962E0
3.50000000000000000E0	1.25000000000000000E0	1.89985598663338351E0
3.50000000000000000E0	1.50000000000000000E0	1.93534618008947490E0
3.50000000000000000E0	1.75000000000000000E0	1.96262856502140615E0
3.50000000000000000E0	2.00000000000000000E0	1.97953268181671760E0
3.50000000000000000E0	2.25000000000000000E0	1.98970935806949711E0
3.50000000000000000E0	2.50000000000000000E0	1.99686639179658876E0
3.50000000000000000E0	2.75000000000000000E0	2.00223225622927004E0
3.50000000000000000E0	3.00000000000000000E0	2.00524685722197304E0
3.50000000000000000E0	3.25000000000000000E0	2.00608865947686876E0
3.50000000000000000E0	3.50000000000000000E0	2.00625210030539147E0
3.50000000000000000E0	3.75000000000000000E0	2.00627959881428009E0
3.50000000000000000E0	4.00000000000000000E0	2.00629050793775665E0

Vcoarse	Vfine	dBm(HB.Vo_P[::,1])[10, ::]
4.00000000000000000E0	-1.00000000000000000E0	1.78537203267778288E0
4.00000000000000000E0	-7.50000000000000000E-1	1.78740947050694388E0
4.00000000000000000E0	-5.00000000000000000E-1	1.78998242249947026E0
4.00000000000000000E0	-2.50000000000000000E-1	1.79353618687581751E0
4.00000000000000000E0	0.00000000000000000E0	1.79773945892867282E0
4.00000000000000000E0	2.50000000000000000E-1	1.80354706528396491E0
4.00000000000000000E0	5.00000000000000000E-1	1.81238267190903457E0
4.00000000000000000E0	7.50000000000000000E-1	1.82766619542921660E0
4.00000000000000000E0	1.00000000000000000E0	1.85670947776327289E0
4.00000000000000000E0	1.25000000000000000E0	1.89986455827483169E0
4.00000000000000000E0	1.50000000000000000E0	1.93535851091706590E0
4.00000000000000000E0	1.75000000000000000E0	1.96264602792367526E0
4.00000000000000000E0	2.00000000000000000E0	1.97955350042999179E0
4.00000000000000000E0	2.25000000000000000E0	1.98973143660014173E0
4.00000000000000000E0	2.50000000000000000E0	1.99688981910309238E0
4.00000000000000000E0	2.75000000000000000E0	2.00225690149633984E0
4.00000000000000000E0	3.00000000000000000E0	2.00527627888742188E0
4.00000000000000000E0	3.25000000000000000E0	2.00611396366383765E0
4.00000000000000000E0	3.50000000000000000E0	2.00627751801397913E0
4.00000000000000000E0	3.75000000000000000E0	2.00630489855038796E0
4.00000000000000000E0	4.00000000000000000E0	2.00631299503162630E0


