Vcoarse	Vfine	Vo_N.pnmx[::,0][0, ::]
1.00000000000000000E0	-7.50000000000000000E-1	-1.20390622709884987E2
1.00000000000000000E0	-5.00000000000000000E-1	-1.20796519999617247E2
1.00000000000000000E0	-2.50000000000000000E-1	-1.21168999679288758E2
1.00000000000000000E0	0.00000000000000000E0	-1.21643798218495980E2
1.00000000000000000E0	2.50000000000000000E-1	-1.21971275869891160E2
1.00000000000000000E0	5.00000000000000000E-1	-1.21871441430782612E2
1.00000000000000000E0	7.50000000000000000E-1	-1.20089351384324283E2
1.00000000000000000E0	1.00000000000000000E0	-1.15057608623116114E2
1.00000000000000000E0	1.25000000000000000E0	-1.22440236749724773E2
1.00000000000000000E0	1.50000000000000000E0	-1.16871672060580023E2
1.00000000000000000E0	1.75000000000000000E0	-1.19503615509766470E2
1.00000000000000000E0	2.00000000000000000E0	-1.29599095958404464E2
1.00000000000000000E0	2.25000000000000000E0	-9.35032615459238592E1
1.00000000000000000E0	2.50000000000000000E0	-1.34319924008197122E2
1.00000000000000000E0	2.75000000000000000E0	-1.26377834462868410E2
1.00000000000000000E0	3.00000000000000000E0	-1.18104425368848664E2
1.00000000000000000E0	3.25000000000000000E0	-1.12566051672119172E2
1.00000000000000000E0	3.50000000000000000E0	-1.21461189724369500E2
1.00000000000000000E0	3.75000000000000000E0	-1.13849402332712346E2
1.00000000000000000E0	4.00000000000000000E0	-1.18864697060611335E2

Vcoarse	Vfine	Vo_N.pnmx[::,0][5, ::]
1.50000000000000000E0	-1.00000000000000000E0	-1.31122741045899471E2
1.50000000000000000E0	-7.50000000000000000E-1	-1.30504122194374128E2
1.50000000000000000E0	-5.00000000000000000E-1	-1.30117887888500272E2
1.50000000000000000E0	-2.50000000000000000E-1	-1.29296296573689529E2
1.50000000000000000E0	0.00000000000000000E0	-1.28400617983532284E2
1.50000000000000000E0	2.50000000000000000E-1	-1.27738530158337826E2
1.50000000000000000E0	5.00000000000000000E-1	-1.26436076686133680E2
1.50000000000000000E0	7.50000000000000000E-1	-1.24199527011548749E2
1.50000000000000000E0	1.00000000000000000E0	-1.21257865903319351E2
1.50000000000000000E0	1.25000000000000000E0	-1.17212005203100600E2
1.50000000000000000E0	1.50000000000000000E0	-1.16540006124323181E2
1.50000000000000000E0	1.75000000000000000E0	-1.16109178958270043E2
1.50000000000000000E0	2.00000000000000000E0	-1.15761442150346694E2
1.50000000000000000E0	2.25000000000000000E0	-1.15760756801172415E2
1.50000000000000000E0	2.50000000000000000E0	-1.15977037065627675E2
1.50000000000000000E0	2.75000000000000000E0	-1.16262996344464931E2
1.50000000000000000E0	3.00000000000000000E0	-1.16453767568346667E2
1.50000000000000000E0	3.25000000000000000E0	-1.16496173266356573E2
1.50000000000000000E0	3.50000000000000000E0	-1.16503639855584606E2
1.50000000000000000E0	3.75000000000000000E0	-1.16507662819841906E2
1.50000000000000000E0	4.00000000000000000E0	-1.16514938150955372E2

Vcoarse	Vfine	Vo_N.pnmx[::,0][6, ::]
2.00000000000000000E0	-1.00000000000000000E0	-1.15295552201510709E2
2.00000000000000000E0	-7.50000000000000000E-1	-1.15245257900966691E2
2.00000000000000000E0	-5.00000000000000000E-1	-1.15204171136628331E2
2.00000000000000000E0	-2.50000000000000000E-1	-1.15140370584958429E2
2.00000000000000000E0	0.00000000000000000E0	-1.15071667970376024E2
2.00000000000000000E0	2.50000000000000000E-1	-1.14980322151592818E2
2.00000000000000000E0	5.00000000000000000E-1	-1.14940653493562150E2
2.00000000000000000E0	7.50000000000000000E-1	-1.15419922827291144E2
2.00000000000000000E0	1.00000000000000000E0	-1.17944746429847536E2
2.00000000000000000E0	1.25000000000000000E0	-1.21140979791869552E2
2.00000000000000000E0	1.50000000000000000E0	-1.19933972499243113E2
2.00000000000000000E0	1.75000000000000000E0	-1.19234533185619340E2
2.00000000000000000E0	2.00000000000000000E0	-1.18723425443532582E2
2.00000000000000000E0	2.25000000000000000E0	-1.18544264823606516E2
2.00000000000000000E0	2.50000000000000000E0	-1.18485867014643054E2
2.00000000000000000E0	2.75000000000000000E0	-1.18454142888016389E2
2.00000000000000000E0	3.00000000000000000E0	-1.18425204970505460E2
2.00000000000000000E0	3.25000000000000000E0	-1.18425985514231380E2
2.00000000000000000E0	3.50000000000000000E0	-1.18424543237119595E2
2.00000000000000000E0	3.75000000000000000E0	-1.18424050801135272E2
2.00000000000000000E0	4.00000000000000000E0	-1.18422956573378624E2

Vcoarse	Vfine	Vo_N.pnmx[::,0][7, ::]
2.50000000000000000E0	-1.00000000000000000E0	-1.17833724856907773E2
2.50000000000000000E0	-7.50000000000000000E-1	-1.17984765907954081E2
2.50000000000000000E0	-5.00000000000000000E-1	-1.18167766749139291E2
2.50000000000000000E0	-2.50000000000000000E-1	-1.18395284887286945E2
2.50000000000000000E0	0.00000000000000000E0	-1.18717980913738219E2
2.50000000000000000E0	2.50000000000000000E-1	-1.19166238458820106E2
2.50000000000000000E0	5.00000000000000000E-1	-1.19727334356216408E2
2.50000000000000000E0	7.50000000000000000E-1	-1.19938714972242066E2
2.50000000000000000E0	1.00000000000000000E0	-1.19660793994312686E2
2.50000000000000000E0	1.25000000000000000E0	-1.18741666997241646E2
2.50000000000000000E0	1.50000000000000000E0	-1.18357645821631174E2
2.50000000000000000E0	1.75000000000000000E0	-1.17731118617253694E2
2.50000000000000000E0	2.00000000000000000E0	-1.17418623751361273E2
2.50000000000000000E0	2.25000000000000000E0	-1.17282107401369262E2
2.50000000000000000E0	2.50000000000000000E0	-1.17147559709575222E2
2.50000000000000000E0	2.75000000000000000E0	-1.17053771382097738E2
2.50000000000000000E0	3.00000000000000000E0	-1.17002610708550359E2
2.50000000000000000E0	3.25000000000000000E0	-1.16991199067274221E2
2.50000000000000000E0	3.50000000000000000E0	-1.16987622075126030E2
2.50000000000000000E0	3.75000000000000000E0	-1.16986610896296717E2
2.50000000000000000E0	4.00000000000000000E0	-1.16983700625295972E2

Vcoarse	Vfine	Vo_N.pnmx[::,0][8, ::]
3.00000000000000000E0	-1.00000000000000000E0	-1.19634898636109854E2
3.00000000000000000E0	-7.50000000000000000E-1	-1.19651767331748471E2
3.00000000000000000E0	-5.00000000000000000E-1	-1.19675897665904496E2
3.00000000000000000E0	-2.50000000000000000E-1	-1.19659081451653959E2
3.00000000000000000E0	0.00000000000000000E0	-1.19628459512727980E2
3.00000000000000000E0	2.50000000000000000E-1	-1.19560586396881474E2
3.00000000000000000E0	5.00000000000000000E-1	-1.19454827885028947E2
3.00000000000000000E0	7.50000000000000000E-1	-1.19269263204604736E2
3.00000000000000000E0	1.00000000000000000E0	-1.18576999887990575E2
3.00000000000000000E0	1.25000000000000000E0	-1.18309301286145230E2
3.00000000000000000E0	1.50000000000000000E0	-1.17500750085468586E2
3.00000000000000000E0	1.75000000000000000E0	-1.17146804291340567E2
3.00000000000000000E0	2.00000000000000000E0	-1.16867133937686862E2
3.00000000000000000E0	2.25000000000000000E0	-1.16672708891572685E2
3.00000000000000000E0	2.50000000000000000E0	-1.16517418516147431E2
3.00000000000000000E0	2.75000000000000000E0	-1.16402879876218535E2
3.00000000000000000E0	3.00000000000000000E0	-1.16342813638321774E2
3.00000000000000000E0	3.25000000000000000E0	-1.16327272837970552E2
3.00000000000000000E0	3.50000000000000000E0	-1.16323801726132081E2
3.00000000000000000E0	3.75000000000000000E0	-1.16323078409126501E2
3.00000000000000000E0	4.00000000000000000E0	-1.16323976581491828E2

Vcoarse	Vfine	Vo_N.pnmx[::,0][9, ::]
3.50000000000000000E0	-1.00000000000000000E0	-1.19655231821289920E2
3.50000000000000000E0	-7.50000000000000000E-1	-1.19664872007205281E2
3.50000000000000000E0	-5.00000000000000000E-1	-1.19656165905390433E2
3.50000000000000000E0	-2.50000000000000000E-1	-1.19621353930307306E2
3.50000000000000000E0	0.00000000000000000E0	-1.19573053750347036E2
3.50000000000000000E0	2.50000000000000000E-1	-1.19498733017376235E2
3.50000000000000000E0	5.00000000000000000E-1	-1.19401288735584199E2
3.50000000000000000E0	7.50000000000000000E-1	-1.19206850022646682E2
3.50000000000000000E0	1.00000000000000000E0	-1.18477670360553944E2
3.50000000000000000E0	1.25000000000000000E0	-1.18243055075330084E2
3.50000000000000000E0	1.50000000000000000E0	-1.17468188851916122E2
3.50000000000000000E0	1.75000000000000000E0	-1.17078483013808698E2
3.50000000000000000E0	2.00000000000000000E0	-1.16798523411285315E2
3.50000000000000000E0	2.25000000000000000E0	-1.16592160323763805E2
3.50000000000000000E0	2.50000000000000000E0	-1.16433756312822623E2
3.50000000000000000E0	2.75000000000000000E0	-1.16319061717167793E2
3.50000000000000000E0	3.00000000000000000E0	-1.16261872138409728E2
3.50000000000000000E0	3.25000000000000000E0	-1.16246153139206454E2
3.50000000000000000E0	3.50000000000000000E0	-1.16244024705026128E2
3.50000000000000000E0	3.75000000000000000E0	-1.16243254098165272E2
3.50000000000000000E0	4.00000000000000000E0	-1.16243069958167800E2

Vcoarse	Vfine	Vo_N.pnmx[::,0][10, ::]
4.00000000000000000E0	-1.00000000000000000E0	-1.19654638387433465E2
4.00000000000000000E0	-7.50000000000000000E-1	-1.19664407256651550E2
4.00000000000000000E0	-5.00000000000000000E-1	-1.19654442413198825E2
4.00000000000000000E0	-2.50000000000000000E-1	-1.19619993343651077E2
4.00000000000000000E0	0.00000000000000000E0	-1.19571928054462018E2
4.00000000000000000E0	2.50000000000000000E-1	-1.19497650437896707E2
4.00000000000000000E0	5.00000000000000000E-1	-1.19396247793064458E2
4.00000000000000000E0	7.50000000000000000E-1	-1.19205953424143773E2
4.00000000000000000E0	1.00000000000000000E0	-1.18476802898716094E2
4.00000000000000000E0	1.25000000000000000E0	-1.18241659716441716E2
4.00000000000000000E0	1.50000000000000000E0	-1.17466393767072619E2
4.00000000000000000E0	1.75000000000000000E0	-1.17076684873547210E2
4.00000000000000000E0	2.00000000000000000E0	-1.16797005424182432E2
4.00000000000000000E0	2.25000000000000000E0	-1.16592838070513527E2
4.00000000000000000E0	2.50000000000000000E0	-1.16432979149009208E2
4.00000000000000000E0	2.75000000000000000E0	-1.16318138650950242E2
4.00000000000000000E0	3.00000000000000000E0	-1.16260733835601426E2
4.00000000000000000E0	3.25000000000000000E0	-1.16246051595912725E2
4.00000000000000000E0	3.50000000000000000E0	-1.16243184949625111E2
4.00000000000000000E0	3.75000000000000000E0	-1.16242475738985984E2
4.00000000000000000E0	4.00000000000000000E0	-1.16241971295825475E2


