Vcoarse	Vfine	Fout[0, ::]
1.00000000000000000E0	3.25000000000000000E0	6.01603191846405583E10
1.00000000000000000E0	3.50000000000000000E0	6.01607746646447250E10
1.00000000000000000E0	3.75000000000000000E0	6.01608193901877097E10
1.00000000000000000E0	4.00000000000000000E0	6.01607536971740586E10

Vcoarse	Vfine	Fout[5, ::]
1.50000000000000000E0	-1.00000000000000000E0	6.04727071817024431E10
1.50000000000000000E0	-7.50000000000000000E-1	6.04795961622996625E10
1.50000000000000000E0	-5.00000000000000000E-1	6.04884071751904884E10
1.50000000000000000E0	-2.50000000000000000E-1	6.05001600864920519E10
1.50000000000000000E0	0.00000000000000000E0	6.05159872629456785E10
1.50000000000000000E0	2.50000000000000000E-1	6.05388948945146232E10
1.50000000000000000E0	5.00000000000000000E-1	6.05745408142685182E10
1.50000000000000000E0	7.50000000000000000E-1	6.06335300946213174E10
1.50000000000000000E0	1.00000000000000000E0	6.07316170245543763E10
1.50000000000000000E0	1.25000000000000000E0	6.08884495738349596E10
1.50000000000000000E0	1.50000000000000000E0	6.10588660221464696E10
1.50000000000000000E0	1.75000000000000000E0	6.11657313109774492E10
1.50000000000000000E0	2.00000000000000000E0	6.12338648504771044E10
1.50000000000000000E0	2.25000000000000000E0	6.12829615258228966E10
1.50000000000000000E0	2.50000000000000000E0	6.13211517745113266E10
1.50000000000000000E0	2.75000000000000000E0	6.13505655417877005E10
1.50000000000000000E0	3.00000000000000000E0	6.13659547601099131E10
1.50000000000000000E0	3.25000000000000000E0	6.13696303746357152E10
1.50000000000000000E0	3.50000000000000000E0	6.13703454359656142E10
1.50000000000000000E0	3.75000000000000000E0	6.13704295861140281E10
1.50000000000000000E0	4.00000000000000000E0	6.13703623234149109E10

Vcoarse	Vfine	Fout[6, ::]
2.00000000000000000E0	-1.00000000000000000E0	6.11356491549207171E10
2.00000000000000000E0	-7.50000000000000000E-1	6.11432246268008495E10
2.00000000000000000E0	-5.00000000000000000E-1	6.11528963857783658E10
2.00000000000000000E0	-2.50000000000000000E-1	6.11657590637118354E10
2.00000000000000000E0	0.00000000000000000E0	6.11832078082440933E10
2.00000000000000000E0	2.50000000000000000E-1	6.12086736395430453E10
2.00000000000000000E0	5.00000000000000000E-1	6.12489359369784747E10
2.00000000000000000E0	7.50000000000000000E-1	6.13180113002715821E10
2.00000000000000000E0	1.00000000000000000E0	6.14436566415514029E10
2.00000000000000000E0	1.25000000000000000E0	6.16400056158382181E10
2.00000000000000000E0	1.50000000000000000E0	6.18226225642875082E10
2.00000000000000000E0	1.75000000000000000E0	6.19545693303213518E10
2.00000000000000000E0	2.00000000000000000E0	6.20473420093942885E10
2.00000000000000000E0	2.25000000000000000E0	6.21107421411355709E10
2.00000000000000000E0	2.50000000000000000E0	6.21571112331839526E10
2.00000000000000000E0	2.75000000000000000E0	6.21909394882824440E10
2.00000000000000000E0	3.00000000000000000E0	6.22086110156374961E10
2.00000000000000000E0	3.25000000000000000E0	6.22130632506984949E10
2.00000000000000000E0	3.50000000000000000E0	6.22139108024734711E10
2.00000000000000000E0	3.75000000000000000E0	6.22140181812125537E10
2.00000000000000000E0	4.00000000000000000E0	6.22139444644410311E10

Vcoarse	Vfine	Fout[7, ::]
2.50000000000000000E0	-1.00000000000000000E0	6.15035797861280376E10
2.50000000000000000E0	-7.50000000000000000E-1	6.15127301328356957E10
2.50000000000000000E0	-5.00000000000000000E-1	6.15243533020613409E10
2.50000000000000000E0	-2.50000000000000000E-1	6.15396924128532596E10
2.50000000000000000E0	0.00000000000000000E0	6.15603218417887454E10
2.50000000000000000E0	2.50000000000000000E-1	6.15899694552123300E10
2.50000000000000000E0	5.00000000000000000E-1	6.16357193470486031E10
2.50000000000000000E0	7.50000000000000000E-1	6.17108906363843790E10
2.50000000000000000E0	1.00000000000000000E0	6.18374916151273091E10
2.50000000000000000E0	1.25000000000000000E0	6.20525930394334946E10
2.50000000000000000E0	1.50000000000000000E0	6.22567688613145087E10
2.50000000000000000E0	1.75000000000000000E0	6.23922844267463894E10
2.50000000000000000E0	2.00000000000000000E0	6.24902530195532790E10
2.50000000000000000E0	2.25000000000000000E0	6.25628468042120112E10
2.50000000000000000E0	2.50000000000000000E0	6.26158223738063402E10
2.50000000000000000E0	2.75000000000000000E0	6.26536572275990800E10
2.50000000000000000E0	3.00000000000000000E0	6.26735230399983934E10
2.50000000000000000E0	3.25000000000000000E0	6.26787051450083599E10
2.50000000000000000E0	3.50000000000000000E0	6.26796799332324639E10
2.50000000000000000E0	3.75000000000000000E0	6.26798087281711780E10
2.50000000000000000E0	4.00000000000000000E0	6.26797251223399776E10

Vcoarse	Vfine	Fout[8, ::]
3.00000000000000000E0	-1.00000000000000000E0	6.16952466286420709E10
3.00000000000000000E0	-7.50000000000000000E-1	6.17036857027138019E10
3.00000000000000000E0	-5.00000000000000000E-1	6.17144439512061727E10
3.00000000000000000E0	-2.50000000000000000E-1	6.17287472734484499E10
3.00000000000000000E0	0.00000000000000000E0	6.17482512000612438E10
3.00000000000000000E0	2.50000000000000000E-1	6.17769046783679165E10
3.00000000000000000E0	5.00000000000000000E-1	6.18228252568568859E10
3.00000000000000000E0	7.50000000000000000E-1	6.19040680944993049E10
3.00000000000000000E0	1.00000000000000000E0	6.20534992746593606E10
3.00000000000000000E0	1.25000000000000000E0	6.22616473131044312E10
3.00000000000000000E0	1.50000000000000000E0	6.24767310202916981E10
3.00000000000000000E0	1.75000000000000000E0	6.26330219421794610E10
3.00000000000000000E0	2.00000000000000000E0	6.27267144644785013E10
3.00000000000000000E0	2.25000000000000000E0	6.27918926247560716E10
3.00000000000000000E0	2.50000000000000000E0	6.28419452465426698E10
3.00000000000000000E0	2.75000000000000000E0	6.28798815495538488E10
3.00000000000000000E0	3.00000000000000000E0	6.29008378705993554E10
3.00000000000000000E0	3.25000000000000000E0	6.29065181188189637E10
3.00000000000000000E0	3.50000000000000000E0	6.29075871810492693E10
3.00000000000000000E0	3.75000000000000000E0	6.29077310472386930E10
3.00000000000000000E0	4.00000000000000000E0	6.29076325270398407E10

Vcoarse	Vfine	Fout[9, ::]
3.50000000000000000E0	-1.00000000000000000E0	6.17130213301515518E10
3.50000000000000000E0	-7.50000000000000000E-1	6.17214756260452990E10
3.50000000000000000E0	-5.00000000000000000E-1	6.17322591958567823E10
3.50000000000000000E0	-2.50000000000000000E-1	6.17466167036567448E10
3.50000000000000000E0	0.00000000000000000E0	6.17662390633871627E10
3.50000000000000000E0	2.50000000000000000E-1	6.17951715578907201E10
3.50000000000000000E0	5.00000000000000000E-1	6.18418170368722553E10
3.50000000000000000E0	7.50000000000000000E-1	6.19251076258737321E10
3.50000000000000000E0	1.00000000000000000E0	6.20755235359505164E10
3.50000000000000000E0	1.25000000000000000E0	6.22826810682461929E10
3.50000000000000000E0	1.50000000000000000E0	6.25029280397809295E10
3.50000000000000000E0	1.75000000000000000E0	6.26577785240738194E10
3.50000000000000000E0	2.00000000000000000E0	6.27509308302388913E10
3.50000000000000000E0	2.25000000000000000E0	6.28165039406094472E10
3.50000000000000000E0	2.50000000000000000E0	6.28674790575349451E10
3.50000000000000000E0	2.75000000000000000E0	6.29064736749276854E10
3.50000000000000000E0	3.00000000000000000E0	6.29281570822736480E10
3.50000000000000000E0	3.25000000000000000E0	6.29340623729466397E10
3.50000000000000000E0	3.50000000000000000E0	6.29351733586187834E10
3.50000000000000000E0	3.75000000000000000E0	6.29353233864198724E10
3.50000000000000000E0	4.00000000000000000E0	6.29352459509263795E10

Vcoarse	Vfine	Fout[10, ::]
4.00000000000000000E0	-1.00000000000000000E0	6.17128869523288959E10
4.00000000000000000E0	-7.50000000000000000E-1	6.17213432977131760E10
4.00000000000000000E0	-5.00000000000000000E-1	6.17321281656250598E10
4.00000000000000000E0	-2.50000000000000000E-1	6.17464867725326361E10
4.00000000000000000E0	0.00000000000000000E0	6.17661108385124002E10
4.00000000000000000E0	2.50000000000000000E-1	6.17950449622711773E10
4.00000000000000000E0	5.00000000000000000E-1	6.18416915629240727E10
4.00000000000000000E0	7.50000000000000000E-1	6.19249825491804362E10
4.00000000000000000E0	1.00000000000000000E0	6.20754179980445553E10
4.00000000000000000E0	1.25000000000000000E0	6.22826059442178526E10
4.00000000000000000E0	1.50000000000000000E0	6.25028746544526292E10
4.00000000000000000E0	1.75000000000000000E0	6.26577521442171381E10
4.00000000000000000E0	2.00000000000000000E0	6.27509172780602675E10
4.00000000000000000E0	2.25000000000000000E0	6.28164987573489952E10
4.00000000000000000E0	2.50000000000000000E0	6.28674808567136356E10
4.00000000000000000E0	2.75000000000000000E0	6.29064815140308031E10
4.00000000000000000E0	3.00000000000000000E0	6.29281690073530431E10
4.00000000000000000E0	3.25000000000000000E0	6.29340749191745186E10
4.00000000000000000E0	3.50000000000000000E0	6.29351861419999992E10
4.00000000000000000E0	3.75000000000000000E0	6.29353362783992143E10
4.00000000000000000E0	4.00000000000000000E0	6.29352667673930011E10


